"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"7944","Car, truck, or van","Bachelor's degree",40,78000,1600,"00302"
"7945","Car, truck, or van","Bachelor's degree",10,105000,2000,"04902"
"7946","Car, truck, or van","Master's degree",20,105000,2000,"04902"
"7947","Car, truck, or van","Regular high school diploma",15,120800,1850,"04901"
"7948","Car, truck, or van","Bachelor's degree",20,120800,1850,"04901"
"7949","Car, truck, or van","Grade 11",5,120800,1850,"04901"
"7950","Car, truck, or van","Regular high school diploma",20,100600,1600,"00501"
"7951","Car, truck, or van","Grade 11",10,100600,1600,"00501"
"7952","Car, truck, or van","Grade 9",10,100600,1600,"00501"
"7953","Car, truck, or van","Grade 9",10,100600,1600,"00501"
"7954","Car, truck, or van","Grade 11",12,3200,800,"00100"
"7955","Car, truck, or van","Regular high school diploma",35,73800,2000,"00507"
"7956","Car, truck, or van","Some college, but less than 1 year",10,96000,1500,"01901"
"7957","Car, truck, or van","Bachelor's degree",10,96000,1500,"01901"
"7958","Car, truck, or van","Associate's degree",25,96000,1500,"01901"
"7959","Bicycle","Master's degree",10,244500,1700,"00506"
"7960","Subway or elevated","Bachelor's degree",30,244500,1700,"00506"
"7961","Subway or elevated","Bachelor's degree",40,230000,2700,"00506"
"7962","Subway or elevated","Bachelor's degree",40,230000,2700,"00506"
"7963","Car, truck, or van","Master's degree",60,549000,4000,"00503"
"7964","Bicycle","Bachelor's degree",60,549000,4000,"00503"
"7965","Car, truck, or van","Bachelor's degree",25,549000,4000,"00503"
"7966","Car, truck, or van","Bachelor's degree",30,51000,850,"04302"
"7967","Car, truck, or van","Regular high school diploma",40,98000,450,"04902"
"7968","Car, truck, or van","Regular high school diploma",25,98000,450,"04902"
"7969","Car, truck, or van","Bachelor's degree",60,104600,1400,"03305"
"7970","Car, truck, or van","Some college, but less than 1 year",80,104600,1400,"03305"
"7971","Car, truck, or van","Bachelor's degree",40,104600,1400,"03305"
"7972","Car, truck, or van","Master's degree",60,260000,2920,"00701"
"7973","Car, truck, or van","1 or more years of college credit, no degree",50,260000,2920,"00701"
"7974","Taxicab","1 or more years of college credit, no degree",30,7500,480,"03400"
"7975","Car, truck, or van","Regular high school diploma",35,171800,2150,"01000"
"7976","Other method","Master's degree",60,226000,2430,"03500"
"7977","Car, truck, or van","Regular high school diploma",30,96660,2150,"01400"
"7978","Car, truck, or van","Master's degree",20,174060,2000,"01300"
"7979","Car, truck, or van","Regular high school diploma",25,197000,2790,"00508"
"7980","Subway or elevated","1 or more years of college credit, no degree",45,197000,2790,"00508"
"7981","Car, truck, or van","Bachelor's degree",35,197000,2790,"00508"
"7982","Car, truck, or van","Bachelor's degree",3,178500,2200,"00200"
"7983","Car, truck, or van","Bachelor's degree",25,178500,2200,"00200"
"7984","Car, truck, or van","Bachelor's degree",1,66000,1300,"00400"
"7985","Car, truck, or van","1 or more years of college credit, no degree",45,19500,1600,"00701"
"7986","Car, truck, or van","Master's degree",30,187000,20,"00503"
"7987","Car, truck, or van","Regular high school diploma",25,18100,340,"00703"
"7988","Car, truck, or van","Master's degree",30,149000,1400,"03900"
"7989","Car, truck, or van","1 or more years of college credit, no degree",6,149000,1400,"03900"
"7990","Car, truck, or van","Doctorate degree",40,193650,1600,"00507"
"7991","Other method","Some college, but less than 1 year",30,193650,1600,"00507"
"7992","Car, truck, or van","Professional degree beyond a bachelor's degree",45,140000,2300,"01400"
"7993","Car, truck, or van","Regular high school diploma",15,68000,200,"04500"
"7994","Subway or elevated","1 or more years of college credit, no degree",60,210000,1600,"03305"
"7995","Car, truck, or van","Professional degree beyond a bachelor's degree",60,210000,1600,"03305"
"7996","Car, truck, or van","Bachelor's degree",35,88100,2200,"00506"
"7997","Car, truck, or van","Bachelor's degree",20,88100,2200,"00506"
"7998","Car, truck, or van","Regular high school diploma",35,90000,3400,"00703"
"7999","Car, truck, or van","Bachelor's degree",30,95000,2200,"03306"
"8000","Car, truck, or van","Doctorate degree",30,297830,6100,"03500"
"8001","Car, truck, or van","Bachelor's degree",30,285000,2350,"03601"
"8002","Car, truck, or van","Associate's degree",35,285000,2350,"03601"
"8003","Car, truck, or van","Master's degree",45,347000,1800,"00703"
"8004","Railroad","Master's degree",50,347000,1800,"00703"
"8005","Car, truck, or van","Regular high school diploma",15,112500,1550,"01600"
"8006","Car, truck, or van","GED or alternative credential",22,112500,1550,"01600"
"8007","Car, truck, or van","Associate's degree",30,112500,1550,"01600"
"8008","Car, truck, or van","Master's degree",75,204000,1500,"00300"
"8009","Car, truck, or van","Master's degree",12,204000,1500,"00300"
"8010","Car, truck, or van","Bachelor's degree",15,120000,400,"00301"
"8011","Car, truck, or van","1 or more years of college credit, no degree",20,120000,400,"00301"
"8012","Car, truck, or van","Bachelor's degree",60,63300,2300,"00304"
"8013","Car, truck, or van","Master's degree",60,80000,1700,"04902"
"8014","Car, truck, or van","Associate's degree",55,80000,1700,"04902"
"8015","Subway or elevated","Bachelor's degree",40,202410,2600,"00506"
"8016","Car, truck, or van","Some college, but less than 1 year",20,102000,2200,"03900"
"8017","Car, truck, or van","Regular high school diploma",60,102000,2200,"03900"
"8018","Car, truck, or van","Regular high school diploma",8,102000,2200,"03900"
"8019","Car, truck, or van","Associate's degree",40,200500,4000,"00702"
"8020","Car, truck, or van","Bachelor's degree",60,98000,1900,"02800"
"8021","Car, truck, or van","Professional degree beyond a bachelor's degree",8,108000,950,"00400"
"8022","Car, truck, or van","Master's degree",45,105000,1100,"01600"
"8023","Car, truck, or van","Bachelor's degree",10,105000,1100,"01600"
"8024","Car, truck, or van","Some college, but less than 1 year",20,13400,630,"01900"
"8025","Car, truck, or van","Regular high school diploma",5,74000,880,"00701"
"8026","Car, truck, or van","Master's degree",10,284000,2800,"04902"
"8027","Car, truck, or van","Master's degree",144,284000,2800,"04902"
"8028","Car, truck, or van","Grade 10",35,62000,1100,"04000"
"8029","Car, truck, or van","Grade 11",10,62000,1100,"04000"
"8030","Car, truck, or van","12th grade - no diploma",40,62000,1100,"04000"
"8031","Car, truck, or van","1 or more years of college credit, no degree",10,53000,1200,"04700"
"8032","Car, truck, or van","1 or more years of college credit, no degree",45,1e+05,960,"00100"
"8033","Car, truck, or van","1 or more years of college credit, no degree",10,1e+05,960,"00100"
"8034","Car, truck, or van","Professional degree beyond a bachelor's degree",35,331400,2400,"03601"
"8035","Car, truck, or van","Grade 9",15,101600,2000,"03306"
"8036","Bus or trolley bus","Regular high school diploma",30,101600,2000,"03306"
"8037","Car, truck, or van","Regular high school diploma",30,101600,2000,"03306"
"8038","Car, truck, or van","Grade 10",25,101600,2000,"03306"
"8039","Car, truck, or van","1 or more years of college credit, no degree",8,68000,900,"01300"
"8040","Car, truck, or van","Bachelor's degree",60,150400,1300,"04902"
"8041","Car, truck, or van","Associate's degree",30,150400,1300,"04902"
"8042","Walked","Master's degree",8,110500,1100,"01600"
"8043","Car, truck, or van","Bachelor's degree",60,125000,1400,"01300"
"8044","Car, truck, or van","Bachelor's degree",90,121000,2500,"01300"
"8045","Car, truck, or van","Bachelor's degree",30,121000,2500,"01300"
"8046","Car, truck, or van","Regular high school diploma",20,76400,70,"00502"
"8047","Car, truck, or van","Regular high school diploma",20,76400,70,"00502"
"8048","Car, truck, or van","Regular high school diploma",10,76400,70,"00502"
"8049","Car, truck, or van","Bachelor's degree",15,110000,2000,"03305"
"8050","Bus or trolley bus","Master's degree",60,110000,2000,"03305"
"8051","Car, truck, or van","Associate's degree",35,74000,3000,"00503"
"8052","Car, truck, or van","Master's degree",45,246600,1700,"01902"
"8053","Car, truck, or van","Bachelor's degree",4,246600,1700,"01902"
"8054","Car, truck, or van","Master's degree",10,150000,2700,"03301"
"8055","Bus or trolley bus","Doctorate degree",30,150000,2700,"03301"
"8056","Car, truck, or van","Associate's degree",30,94300,1400,"00300"
"8057","Car, truck, or van","Master's degree",15,94300,1400,"00300"
"8058","Car, truck, or van","Bachelor's degree",20,231000,850,"00508"
"8059","Car, truck, or van","Bachelor's degree",20,231000,850,"00508"
"8060","Car, truck, or van","Master's degree",30,231000,850,"00508"
"8061","Subway or elevated","Bachelor's degree",45,231000,850,"00508"
"8062","Walked","Bachelor's degree",5,46000,1000,"04000"
"8063","Car, truck, or van","Professional degree beyond a bachelor's degree",60,70000,600,"03900"
"8064","Car, truck, or van","Bachelor's degree",50,70000,600,"03900"
"8065","Car, truck, or van","Some college, but less than 1 year",22,96400,1800,"01000"
"8066","Car, truck, or van","Some college, but less than 1 year",45,66800,1040,"00301"
"8067","Car, truck, or van","Regular high school diploma",45,106600,1800,"00303"
"8068","Car, truck, or van","1 or more years of college credit, no degree",23,106600,1800,"00303"
"8069","Other method","Grade 10",5,106600,1800,"00303"
"8070","Car, truck, or van","1 or more years of college credit, no degree",60,25000,300,"00302"
"8071","Walked","1 or more years of college credit, no degree",22,25000,1200,"03301"
"8072","Car, truck, or van","Bachelor's degree",20,190000,2200,"02400"
"8073","Car, truck, or van","Bachelor's degree",20,190000,2200,"02400"
"8074","Car, truck, or van","Master's degree",5,81600,1400,"01600"
"8075","Car, truck, or van","Regular high school diploma",25,80000,1200,"00400"
"8076","Car, truck, or van","Bachelor's degree",30,145000,2700,"04902"
"8077","Car, truck, or van","Bachelor's degree",30,145000,2700,"04902"
"8078","Car, truck, or van","Professional degree beyond a bachelor's degree",45,343200,3100,"00503"
"8079","Car, truck, or van","Master's degree",60,150000,1000,"04903"
"8080","Car, truck, or van","Bachelor's degree",5,150000,1000,"04903"
"8081","Car, truck, or van","Regular high school diploma",30,202000,850,"04901"
"8082","Car, truck, or van","Associate's degree",30,202000,850,"04901"
"8083","Car, truck, or van","Regular high school diploma",30,202000,850,"04901"
"8084","Car, truck, or van","1 or more years of college credit, no degree",30,202000,850,"04901"
"8085","Car, truck, or van","Master's degree",22,688000,2900,"00702"
"8086","Car, truck, or van","Bachelor's degree",60,688000,2900,"00702"
"8087","Car, truck, or van","Bachelor's degree",24,43000,960,"01901"
"8088","Car, truck, or van","Bachelor's degree",5,35800,300,"04700"
"8089","Railroad","Master's degree",35,482000,1800,"03602"
"8090","Bus or trolley bus","GED or alternative credential",30,20000,580,"04500"
"8091","Car, truck, or van","Regular high school diploma",5,130000,1600,"03306"
"8092","Car, truck, or van","Associate's degree",3,53300,1000,"00304"
"8093","Car, truck, or van","Grade 11",35,53300,1000,"00304"
"8094","Bus or trolley bus","Regular high school diploma",90,77200,260,"03301"
"8095","Car, truck, or van","Regular high school diploma",40,75000,1400,"00302"
"8096","Car, truck, or van","1 or more years of college credit, no degree",35,72100,2520,"01902"
"8097","Car, truck, or van","Some college, but less than 1 year",30,23800,100,"04301"
"8098","Car, truck, or van","Some college, but less than 1 year",15,23800,100,"04301"
"8099","Car, truck, or van","Master's degree",35,112000,1700,"00502"
"8100","Taxicab","Doctorate degree",30,170000,2000,"00505"
"8101","Car, truck, or van","1 or more years of college credit, no degree",30,170000,2000,"00505"
"8102","Car, truck, or van","Bachelor's degree",75,644000,6200,"03900"
"8103","Car, truck, or van","Grade 4",40,381800,3000,"03301"
"8104","Car, truck, or van","Grade 8",45,381800,3000,"03301"
"8105","Car, truck, or van","Bachelor's degree",40,381800,3000,"03301"
"8106","Car, truck, or van","Bachelor's degree",60,381800,3000,"03301"
"8107","Subway or elevated","1 or more years of college credit, no degree",30,381800,3000,"03301"
"8108","Car, truck, or van","Regular high school diploma",60,166000,2200,"00400"
"8109","Car, truck, or van","Associate's degree",60,166000,2200,"00400"
"8110","Car, truck, or van","GED or alternative credential",15,166000,2200,"00400"
"8111","Car, truck, or van","Professional degree beyond a bachelor's degree",30,66060,3700,"00506"
"8112","Car, truck, or van","Master's degree",25,274800,1370,"03301"
"8113","Car, truck, or van","Master's degree",20,274800,1370,"03301"
"8114","Walked","Bachelor's degree",20,83400,1900,"03302"
"8115","Car, truck, or van","Regular high school diploma",30,27970,960,"00501"
"8116","Car, truck, or van","Associate's degree",56,494000,4000,"01000"
"8117","Car, truck, or van","Some college, but less than 1 year",10,494000,4000,"01000"
"8118","Car, truck, or van","Bachelor's degree",35,204510,2700,"03400"
"8119","Car, truck, or van","Bachelor's degree",90,70000,1100,"04200"
"8120","Car, truck, or van","GED or alternative credential",15,41800,650,"00200"
"8121","Car, truck, or van","Some college, but less than 1 year",2,135000,1070,"00300"
"8122","Car, truck, or van","Regular high school diploma",60,105000,1870,"02800"
"8123","Walked","Professional degree beyond a bachelor's degree",15,80000,1600,"03301"
"8124","Car, truck, or van","Bachelor's degree",15,430040,3100,"00703"
"8125","Subway or elevated","Doctorate degree",45,430040,3100,"00703"
"8126","Car, truck, or van","Bachelor's degree",20,80000,1800,"00507"
"8127","Car, truck, or van","Bachelor's degree",100,130000,670,"00704"
"8128","Car, truck, or van","Regular high school diploma",10,130000,670,"00704"
"8129","Car, truck, or van","1 or more years of college credit, no degree",40,2e+05,1600,"00501"
"8130","Car, truck, or van","Master's degree",60,2e+05,1600,"00501"
"8131","Car, truck, or van","Master's degree",10,148100,2000,"03400"
"8132","Car, truck, or van","Some college, but less than 1 year",30,148100,2000,"03400"
"8133","Car, truck, or van","Associate's degree",25,92000,1400,"00304"
"8134","Car, truck, or van","1 or more years of college credit, no degree",25,92000,1400,"00304"
"8135","Streetcar or trolley car (carro publico in Puerto Rico)","Professional degree beyond a bachelor's degree",40,105000,1200,"00508"
